Application_mode,Course,Gender,Previous_qualification,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Tuition_fees_up_to_date,Scholarship_holder,Age_at_enrollment,Debtor,Status (Actual),PredictedStatus,Probability
Change of Institution/Course,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,11,13.45454545,11,13.81818182,1,1,20,0,1,1,0.1733
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.5,5,10.6,1,0,19,0,1,1,0.3
Over 23 Years Old,Management,Female,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,5,12.2,5,10.2,1,0,24,1,1,1,0.26
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.4,5,10.6,1,0,20,0,1,1,0.3
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,8,12.625,5,14.33333333,1,0,20,0,1,1,0.26
Change of Course,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,13,13.26666667,16,13,1,1,23,0,1,1,0.1267
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.31,8,13.31,1,1,18,0,1,1,0.2067
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.2,5,10.57142857,1,1,18,0,1,1,0.1933
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.48714286,7,13.48714286,1,1,20,0,1,1,0.22
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.83333333,6,12.33333333,1,1,20,0,1,1,0.1667
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.96666667,6,13.96666667,1,0,20,0,1,1,0.2133
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.8,4,11.5,1,0,21,0,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.225,6,11.98,1,0,18,0,1,1,0.2133
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.8,5,13.2,1,1,21,0,1,1,0.1933
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.0375,6,11.61428571,1,0,19,0,1,1,0.2133
3rd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,14.31428571,7,14.31428571,1,1,18,0,1,1,0.1933
Technological Specialization Diploma Holders,Veterinary Nursing,Female,Technological Specialization Course,2,13,6,12.66666667,1,0,20,0,1,1,0.2
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.12857143,6,12.76666667,1,1,20,0,1,1,0.2067
2nd Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.2,6,12.66666667,1,1,18,0,1,1,0.16
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.4775,7,14.70625,1,1,19,0,1,1,0.22
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.54285714,6,11.81428571,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.875,6,13,1,0,23,0,1,1,0.26
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.33333333,6,14.85714286,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.6,6,12.6,1,0,20,0,1,1,0.2133
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.4,5,13.33333333,1,0,22,1,1,1,0.2467
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.83333333,6,10.66666667,1,0,18,0,1,1,0.26
2nd Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.2,5,11.8,1,0,18,0,1,1,0.2533
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.66666667,5,11.8,1,0,18,0,1,1,0.2933
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,12.77125,8,12.77125,1,0,18,0,1,1,0.2667
2nd Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.6,3,11.33333333,1,0,20,0,1,1,0.2667
2nd Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14.6,6,12.66666667,1,0,18,0,1,1,0.2533
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.83333333,5,12.2,0,0,18,0,1,1,0.26
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,11.72142857,7,11.72142857,1,1,18,0,1,1,0.2067
Over 23 Years Old,Nursing,Female,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,3,12.525,4,14,1,0,27,0,1,1,0.18
Over 23 Years Old,Biofuel Production Technologies,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.8,7,14.75,1,0,26,0,1,1,0.2133
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,6,12.66666667,1,0,18,0,1,1,0.2267
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,4,10.75,1,0,18,0,1,0,0.52
Over 23 Years Old,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.75,4,12.5,1,0,28,0,1,1,0.2
Over 23 Years Old,Agronomy,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,6,12.5,1,0,50,0,1,1,0.1733
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.61,7,12.61,1,1,18,0,1,1,0.2067
2nd Phase - General Contingent,Equinculture,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.6,2,12,1,0,18,0,1,1,0.3267
International Student (Bachelor),Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.5,5,13,0,0,20,0,1,1,0.2
3rd Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13,4,12,1,1,18,0,1,1,0.18
Over 23 Years Old,Informatics Engineering,Male,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,3,10.5,1,12,1,0,24,0,1,1,0.2867
Over 23 Years Old,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,24,0,1,0,0.6067
2nd Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,3,11.66666667,3,11.66666667,1,1,19,0,1,1,0.2267
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,11.69,7,11.69,1,0,18,0,1,1,0.2933
Technological Specialization Diploma Holders,Animation and Multimedia Design,Male,Technological Specialization Course,0,0,0,0,1,0,25,0,1,0,0.6133
Change of Course,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.28571429,4,11.5,1,0,24,0,1,1,0.26
2nd Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,5,11,1,0,21,0,1,1,0.28
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,6,13.16666667,6,12.85714286,1,0,21,0,1,1,0.22
Over 23 Years Old,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,15.01818182,7,14.52857143,1,0,28,0,1,1,0.3333
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,2,12,5,10,1,0,20,0,1,1,0.3933
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,6,12.625,6,13,1,1,21,0,1,1,0.1133
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,15.18888889,7,15.95714286,1,1,18,0,1,1,0.1733
2nd Phase - General Contingent,Informatics Engineering,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.6,5,13.2,1,1,18,0,1,1,0.24
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,3,11,4,10.2,1,0,20,0,1,1,0.36
Over 23 Years Old,Informatics Engineering,Male,Higher Education - Degree (1st Cycle),2,13.5,5,14.2,1,0,25,0,1,1,0.34
1st Phase - General Contingent,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,2,14.5,6,12.625,1,0,22,1,1,1,0.26
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.49666667,6,13.49666667,1,0,18,0,1,1,0.2933
2nd Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11,5,13.25,1,0,19,0,1,1,0.3533
2nd Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,3,12,3,11,1,0,20,0,1,1,0.3733
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,18,0,1,0,0.7092
Technological Specialization Diploma Holders,Tourism,Male,Technological Specialization Course,3,10.66666667,3,11.5,1,0,23,1,1,1,0.2467
Transfer,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,12.5075,8,12.5075,1,0,23,0,1,1,0.3533
Short Cycle Diploma Holders,Agronomy,Male,Professional Higher Technical Course,11,12,11,12.09090909,1,0,21,0,1,1,0.24
1st Phase - General Contingent,Equinculture,Male,Secondary Education - 12th Year of Schooling or Eq.,3,12.66666667,2,11,1,0,20,0,1,1,0.2933
1st Phase - General Contingent,Equinculture,Male,Secondary Education - 12th Year of Schooling or Eq.,5,13.2,6,13.5,1,0,18,0,1,1,0.28
1st Phase - General Contingent,Communication Design,Male,Frequency of Higher Education,6,13.625,6,14.16666667,1,0,22,0,1,1,0.28
Over 23 Years Old,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,6,14.71428571,6,14,1,0,27,0,1,1,0.2467
2nd Phase - General Contingent,Veterinary Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,5,14.2,5,14.6,1,0,20,0,1,1,0.26
Over 23 Years Old,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.5,5,13,1,0,27,0,1,1,0.2333
1st Phase - General Contingent,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,6,12,6,12.16666667,1,0,20,0,1,1,0.2133
1st Phase - General Contingent,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,10.83333333,3,12.4,1,0,20,0,1,1,0.3533
Change of Course,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,19,0,1,0,0.6533
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,13.82857143,7,13.82857143,1,0,19,0,1,1,0.2933
Over 23 Years Old,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,5,10.2,5,10.6,1,1,28,0,1,1,0.1733
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.66666667,6,11.5,1,0,20,0,1,1,0.2133
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.625,4,13.5,1,0,20,0,1,1,0.26
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.61428571,7,12.5375,1,0,18,0,1,1,0.2667
2nd Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.28571429,6,14.83333333,1,0,19,0,1,1,0.2467
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,12.8,4,12,1,0,18,0,1,1,0.3067
2nd Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,5,11.8,1,0,19,0,1,1,0.2533
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,15.2,5,15,1,1,18,0,1,1,0.2067
2nd Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.2,3,12,1,0,19,0,1,1,0.2667
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.28571429,6,12.83333333,1,1,18,0,1,1,0.24
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,3,12,6,11.66666667,1,0,19,0,1,1,0.22
1st Phase - General Contingent,Oral Hygiene,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.825,7,12.1625,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.55555556,6,13.83333333,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.7,4,12.45,1,0,19,0,1,1,0.2133
Technological Specialization Diploma Holders,Advertising and Marketing Management,Female,Technological Specialization Course,6,13.57142857,6,12.125,1,1,20,0,1,1,0.1133
2nd Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,13,5,13.4,1,0,20,0,1,1,0.2467
2nd Phase - General Contingent,Agronomy,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14,6,13.33333333,1,0,20,1,1,1,0.24
2nd Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.77777778,6,12.66666667,1,0,20,0,1,1,0.2467
2nd Phase - General Contingent,Agronomy,Female,Secondary Education - 12th Year of Schooling or Eq.,13,11.46153846,18,11.88888889,1,0,21,0,1,1,0.24
Holders of Other Higher Courses,Nursing,Female,Higher Education - Degree (1st Cycle),8,15.74444444,7,16.88571429,1,0,24,0,1,1,0.2333
Over 23 Years Old,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.33333333,6,12.5,1,0,27,0,1,1,0.18
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,15.8125,7,13.05555556,1,1,18,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.35571429,7,12.35571429,1,1,19,0,1,1,0.2067
Change of Course,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.98,5,11.98,1,1,18,0,1,1,0.1533
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.57142857,7,13.85714286,1,1,20,1,1,1,0.1533
1st Phase - General Contingent,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,5,13,1,0,24,0,1,1,0.18
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.16666667,6,12.83333333,1,0,20,0,1,1,0.26
2nd Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.2,4,11,1,0,20,0,1,1,0.32
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.35714286,7,12.35714286,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,13.85714286,7,13.85714286,1,1,18,0,1,1,0.2067
2nd Phase - General Contingent,Social Service,Female,Higher Education - Degree,6,10.66666667,6,12.33333333,1,1,20,0,1,1,0.18
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.78888889,7,12.84714286,1,0,20,0,1,1,0.2667
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.01875,6,12.34,1,1,19,0,1,1,0.22
Technological Specialization Diploma Holders,Veterinary Nursing,Female,Technological Specialization Course,4,11.75,5,12.66666667,1,0,19,0,1,1,0.2133
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.5,6,13.83333333,1,0,20,0,1,1,0.2267
2nd Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.73125,8,13.73125,1,1,18,0,1,1,0.22
Technological Specialization Diploma Holders,Social Service (Evening Attendance),Female,Technological Specialization Course,6,11.33333333,9,10.88888889,1,0,23,0,1,1,0.18
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.81111111,7,13.025,1,0,19,0,1,1,0.2133
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,14.16666667,6,13,1,0,18,0,1,1,0.28
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12,5,11.8,1,0,19,0,1,1,0.2267
Over 23 Years Old,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.04285714,7,12.04285714,1,1,25,0,1,1,0.2067
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,4,13,5,12.2,1,0,19,0,1,1,0.26
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,15.5,7,12.8375,1,1,19,0,1,1,0.2067
Over 23 Years Old,Oral Hygiene,Female,Secondary Education - 12th Year of Schooling or Eq.,7,11.7,7,11,1,1,24,1,1,1,0.1667
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,5,14,6,13.5,1,1,18,0,1,1,0.1467
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,12.71428571,6,12.125,1,1,19,0,1,1,0.1933
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,7,12.62857143,7,12.62857143,1,1,18,0,1,1,0.2067
Over 23 Years Old,Management (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,4,11.4,3,10.66666667,1,0,27,0,1,1,0.2133
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,5,11.2,1,0,19,0,1,1,0.3
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,2,11,3,11.66666667,1,0,18,0,1,1,0.34
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,3,12.33333333,2,10.5,1,0,18,0,1,1,0.3333
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,14.26875,8,14.26875,1,0,18,0,1,1,0.2133
1st Phase - General Contingent,Management,Female,Secondary Education - 12th Year of Schooling or Eq.,3,13.33333333,2,10.5,1,1,19,0,1,1,0.2133
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,1,10,5,11.2,1,0,21,0,1,1,0.2533
Over 23 Years Old,Management (Evening Attendance),Female,Higher Education - Degree,5,14.83333333,5,12,1,0,26,0,1,1,0.2333
Change of Course,Oral Hygiene,Female,Secondary Education - 12th Year of Schooling or Eq.,8,13.2125,7,12.22857143,1,0,27,0,1,1,0.2133
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,10.75,4,11.5,1,0,20,0,1,1,0.2133
2nd Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,16.42857143,6,15.375,1,0,18,0,1,1,0.3
Short Cycle Diploma Holders,Veterinary Nursing,Female,Professional Higher Technical Course,6,13.5,9,13.66666667,0,0,23,0,1,1,0.2333
Over 23 Years Old,Nursing,Female,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,7,12.61428571,7,12.61428571,1,0,24,0,1,1,0.18
Technological Specialization Diploma Holders,Social Service,Female,Technological Specialization Course,6,11.5,5,12.2,1,1,19,0,1,1,0.1067
1st Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,4,11,4,11.75,1,0,19,0,1,1,0.2267
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,3,10,5,11.4,1,1,19,1,1,1,0.14
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,2,10,5,10.6,1,0,18,1,1,1,0.22
Change of Institution/Course,Social Service (Evening Attendance),Female,Secondary Education - 12th Year of Schooling or Eq.,11,11.45454545,13,10.92307692,1,0,22,0,1,1,0.2067
Change of Course,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,5,12.4,1,0,20,0,1,1,0.2467
Technological Specialization Diploma Holders,Agronomy,Female,Technological Specialization Course,6,15.5,6,15.83333333,1,0,21,0,1,1,0.1667
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11.70833333,5,11.8,1,0,19,0,1,1,0.2133
2nd Phase - General Contingent,Journalism and Communication,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,6,12.57142857,1,0,18,0,1,1,0.28
1st Phase - General Contingent,Advertising and Marketing Management,Female,Secondary Education - 12th Year of Schooling or Eq.,4,13.25,3,12,1,0,18,0,1,1,0.22
2nd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,14.44444444,7,13.3625,1,0,19,0,1,1,0.3133
1st Phase - General Contingent,Veterinary Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,5,16,5,15.4,1,1,19,0,1,1,0.1533
Change of Institution/Course,Social Service,Female,Technological Specialization Course,11,13.54545455,11,12.81818182,1,1,20,0,1,1,0.1267
Transfer,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,17,13.55473684,17,13.39473684,1,0,28,0,1,1,0.2867
1st Phase - General Contingent,Social Service,Female,Secondary Education - 12th Year of Schooling or Eq.,6,11,6,14.25,1,1,20,0,1,1,0.14
1st Phase - General Contingent,Nursing,Female,Secondary Education - 12th Year of Schooling or Eq.,8,11.7375,7,12.28571429,1,1,19,0,1,1,0.2067
1st Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,5,13.2,6,11.66666667,1,0,22,0,1,1,0.26
1st Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,6,13.5,6,12.16666667,1,0,18,0,1,1,0.2267
2nd Phase - General Contingent,Communication Design,Female,Secondary Education - 12th Year of Schooling or Eq.,6,15,6,14,1,0,18,0,1,1,0.2933
1st Phase - General Contingent,Basic Education,Female,Secondary Education - 12th Year of Schooling or Eq.,4,12,5,11.83333333,1,0,18,0,1,1,0.26
1st Phase - General Contingent,Animation and Multimedia Design,Female,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,1,19,0,1,1,0.4467
2nd Phase - General Contingent,Tourism,Female,Secondary Education - 12th Year of Schooling or Eq.,6,10.66666667,6,10.83333333,1,0,22,0,1,1,0.2533
Technological Specialization Diploma Holders,Social Service,Female,Technological Specialization Course,6,14,6,13.14285714,1,1,23,1,1,1,0.1067
Over 23 Years Old,Agronomy,Male,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,9,11.22222222,7,12,1,0,49,0,1,1,0.18
Change of Course,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,10,12.8,9,12.2,1,0,46,0,1,1,0.26
2nd Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,8,12.48125,7,11.8375,1,0,18,0,1,1,0.3133
Over 23 Years Old,Management (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,5,14,5,11.8,1,0,43,0,1,1,0.26
Change of Course,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,13,12.38461538,19,12.68421053,1,0,41,0,1,1,0.2667
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,4,13,6,12.57142857,1,0,21,0,1,1,0.26
Over 23 Years Old,Equinculture,Male,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,4,15.5,4,14,1,0,44,0,1,1,0.26
1st Phase - General Contingent,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,6,13.66666667,6,13.66666667,1,0,45,0,1,1,0.2133
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,5,10.8,3,10,1,0,20,0,1,1,0.2733
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,6,11.71428571,5,12.6,1,0,22,0,1,1,0.22
Technological Specialization Diploma Holders,Veterinary Nursing,Male,Technological Specialization Course,3,12,5,13.2,0,0,20,0,1,1,0.2467
Over 23 Years Old,Social Service,Male,Other - 11th Year of Schooling,7,14.85714286,9,13.11111111,1,0,47,0,1,1,0.2267
Over 23 Years Old,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,7,12.14285714,10,12.5,1,0,41,0,1,1,0.2467
Over 23 Years Old,Agronomy,Male,Secondary Education - 12th Year of Schooling or Eq.,13,14.23076923,18,14.11111111,1,0,60,0,1,1,0.2333
Over 23 Years Old,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,9,15.77777778,11,14.72727273,1,0,47,0,1,1,0.2933
Over 23 Years Old,Veterinary Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,4,13.5,1,0,33,0,1,1,0.2533
1st Phase - General Contingent,Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,7,13.10571429,7,13.10571429,1,0,18,0,1,1,0.2933
Over 23 Years Old,Veterinary Nursing,Male,Secondary Education - 12th Year of Schooling or Eq.,5,14.4,5,13.5,1,0,43,0,1,1,0.2533
Change of Course,Social Service (Evening Attendance),Male,Secondary Education - 12th Year of Schooling or Eq.,11,12,13,11.84615385,1,0,44,0,1,1,0.22
Transfer,Management (Evening Attendance),Male,Frequency of Higher Education,5,17.6,5,15.8,1,0,37,0,1,1,0.3667
Change of Course,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,12.4,5,13.8,1,0,18,0,1,1,0.2467
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,6,12,6,13,1,0,23,0,1,1,0.26
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,22,0,1,0,0.7092
Holders of Other Higher Courses,Nursing,Male,Higher Education - Degree,8,16.575,7,15.2,1,0,51,0,1,1,0.4533
Change of Institution/Course,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,7,14.375,6,14.42857143,1,0,19,0,1,1,0.26
1st Phase - General Contingent,Animation and Multimedia Design,Male,Secondary Education - 12th Year of Schooling or Eq.,0,0,0,0,1,0,20,0,1,0,0.7092
Change of Course,Advertising and Marketing Management,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.2,4,13.75,1,0,18,0,1,1,0.2467
Technological Specialization Diploma Holders,Agronomy,Male,Technological Specialization Course,5,11.66666667,5,12.14285714,1,0,21,0,1,1,0.22
1st Phase - General Contingent,Tourism,Male,Secondary Education - 12th Year of Schooling or Eq.,5,11.6,6,12,1,0,21,0,1,1,0.26
Over 23 Years Old,Management,Male,Secondary Education - 12th Year of Schooling or Eq.,4,12.75,3,11.66666667,1,0,34,0,1,1,0.3267
